case_id,plaintiff,defendant,evidence,plaintiff_evidence,defendant_evidence,plaintiff_witness,defendant_witness,plaintiff_record,defendant_record,plaintiff_expert_support,defendant_expert_support,plaintiff_score,defendant_score,verdict,legal_basis
76,Worker files case under Beedi and Cigar Workers Act.,Employer argues worker is not covered under Act.,Employment nature and work records.,1,1,1,0,0,1,1,1,2,2,Neutral,Beedi and Cigar Workers Act 1966
77,Plaintiff alleges illegal search violating Article 20 and 21.,Police claim search was with proper warrant.,Search warrant and seizure list.,0,1,1,1,0,1,1,1,2,3,Defendant,Article 20 and 21 - Search and seizure
78,Plaintiff files case under Biological Diversity Act.,Defendant argues prior informed consent was obtained.,Bio-resource access documents and permissions.,0,1,1,1,1,1,0,1,2,3,Defendant,Biological Diversity Act 2002
79,Employee claims bonus under Payment of Bonus Act.,Employer argues company incurred loss.,Financial statements and bonus calculation.,1,1,0,1,1,1,1,0,2,2,Neutral,Payment of Bonus Act 1965
80,Plaintiff alleges violation of Article 300A right to property.,Government argues acquisition for public purpose with compensation.,Acquisition notice and compensation offer.,0,1,1,1,1,1,0,1,2,3,Defendant,Article 300A - Right to property
81,Plaintiff files case under Air Act for air pollution.,Industry argues compliance with emission standards.,Emission test reports and pollution board clearance.,0,1,1,1,1,1,0,1,2,3,Defendant,Air (Prevention and Control of Pollution) Act 1981
82,Worker files case under Interstate Migrant Workers Act.,Contractor denies responsibility for welfare.,Registration certificates and worker records.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Interstate Migrant Workers Act 1979
83,Plaintiff alleges illegal phone tapping violating Article 21.,Intelligence agency argues national security necessity.,Interception authorization and surveillance records.,1,1,0,1,0,1,1,1,2,3,Defendant,Article 21 - Privacy and phone tapping
84,Plaintiff files case under Water Act for water pollution.,Company argues treated effluent meets standards.,Water quality reports and treatment records.,0,1,1,1,1,1,0,1,2,3,Defendant,Water (Prevention and Control of Pollution) Act 1974
85,Employee claims leave encashment as per standing orders.,Employer argues no such provision exists.,Service rules and standing orders.,1,1,1,0,0,1,1,0,2,1,Plaintiff,Industrial Employment Standing Orders Act 1946
86,Plaintiff alleges violation of Article 17 against untouchability.,Accused denies practicing untouchability.,Witness statements and complaint records.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Article 17 - Abolition of untouchability
87,Plaintiff files case under Competition Act for anti-competitive practice.,Company argues normal business practice.,Market analysis and competition impact.,0,1,1,1,1,1,0,1,2,3,Defendant,Competition Act 2002
88,Worker claims compensation under Building Workers Act.,Welfare board denies registration eligibility.,Registration documents and work certificates.,1,1,0,1,1,1,1,0,2,2,Neutral,Building and Other Construction Workers Act 1996
89,Plaintiff alleges forced eviction violating Article 21.,Authority argues encroachment on public land.,Land records and eviction notice.,0,1,1,1,1,1,0,1,2,3,Defendant,Article 21 - Right to shelter
90,Plaintiff files case under Electricity Act for illegal disconnection.,Electricity board argues dues were unpaid.,Electricity bills and disconnection notice.,0,1,1,1,1,1,0,1,2,3,Defendant,Electricity Act 2003
91,Employee files case under Shops and Establishments Act.,Shop owner argues compliance with working hours.,Attendance records and shop registration.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Shops and Establishments Act
92,Plaintiff alleges violation of Article 19(1)(e) right to reside.,Authority argues removal for encroachment.,Residence proof and removal order.,1,1,1,0,0,1,1,1,2,2,Neutral,Article 19(1)(e) - Right to reside
93,Plaintiff files case under Information Technology Act for cyber crime.,Accused denies involvement and claims account hacking.,Digital forensics and IP address logs.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Information Technology Act 2000
94,Worker files case under Mines Act for unsafe working conditions.,Mine owner argues safety measures were in place.,Safety inspection reports and accident records.,1,1,1,0,0,1,1,1,2,2,Neutral,Mines Act 1952
95,Plaintiff alleges harassment violating Article 21.,Accused denies charges and provides character witnesses.,Complaint history and witness statements.,1,1,0,1,1,1,1,0,2,2,Neutral,Article 21 - Right to life with dignity
96,Plaintiff files case under Cinematograph Act for censorship violation.,Producer argues freedom of expression under Article 19(1)(a).,Film content and censor board order.,0,1,1,1,1,1,0,1,2,3,Defendant,Cinematograph Act 1952 vs Article 19(1)(a)
97,Employee claims welfare benefits under Plantation Labour Act.,Plantation owner argues worker not covered.,Employment records and plantation registration.,1,1,1,1,0,1,1,1,3,3,Neutral,Plantation Labour Act 1951
98,Plaintiff alleges violation of Article 23 prohibition of forced labour.,Contractor denies bonded labour and provides wage records.,Labour identification and rescue records.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Article 23 - Prohibition of forced labour
99,Plaintiff files case under Dangerous Machines Act for workplace injury.,Factory owner argues worker negligence.,Accident investigation report and safety training records.,1,1,0,1,1,1,1,0,2,2,Neutral,Dangerous Machines (Regulation) Act 1983
100,Employee alleges age-based termination violating Article 14.,Employer argues superannuation as per service rules.,Service rules and termination order.,0,1,1,1,1,1,0,1,2,3,Defendant,Article 14 - Age discrimination
101,Plaintiff files case under Prevention of Corruption Act.,Accused public servant denies bribery allegations.,Trap laying evidence and recovery documents.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Prevention of Corruption Act 1988
102,Worker files case under Dock Workers Act for welfare benefits.,Port trust argues worker not registered.,Registration records and employment proof.,1,1,1,0,0,1,1,1,2,2,Neutral,Dock Workers Act 1986
103,Plaintiff alleges violation of Article 19(1)(b) right to assemble.,Police argue unlawful assembly under IPC Section 141.,Assembly notice and police action report.,1,1,0,1,0,1,1,1,2,3,Defendant,Article 19(1)(b) vs IPC Section 141
104,Plaintiff files case under Prevention of Money Laundering Act.,Accused argues legitimate business transactions.,Financial transactions and source of funds.,0,1,1,1,1,1,0,1,2,3,Defendant,Prevention of Money Laundering Act 2002
105,Employee claims discrimination under Persons with Disabilities Act.,Employer argues reasonable accommodation provided.,Medical certificates and workplace assessment.,1,1,1,0,0,1,1,0,2,1,Plaintiff,Rights of Persons with Disabilities Act 2016
106,Plaintiff alleges violation of Article 29 cultural rights.,Authority argues restrictions for public order.,Cultural practice evidence and restriction order.,1,1,1,1,0,1,1,1,3,3,Neutral,Article 29 - Protection of cultural rights
107,Plaintiff files case under Ancient Monuments Act for unauthorized construction.,Developer argues site not notified monument.,Archaeological survey and notification.,0,1,1,1,1,1,0,1,2,3,Defendant,Ancient Monuments and Archaeological Sites Act 1958
108,Worker files case under Sales Promotion Employees Act for termination.,Employer argues misconduct justified termination.,Disciplinary proceedings and termination order.,0,1,1,1,1,1,0,1,2,3,Defendant,Sales Promotion Employees Act 1976
109,Plaintiff alleges illegal confinement under Section 342 IPC.,Accused denies forceful confinement.,Witness testimonies and location evidence.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 342 - Wrongful confinement
110,Plaintiff files case under Wildlife Protection Act.,Accused argues no hunting intent and mistaken identity.,Forest department report and seized articles.,0,1,1,1,1,1,0,1,2,3,Defendant,Wildlife Protection Act 1972
111,Employee claims compensation under Apprentices Act.,Establishment argues apprenticeship completed.,Training records and apprenticeship contract.,1,1,0,1,1,1,1,0,2,2,Neutral,Apprentices Act 1961
112,Plaintiff alleges violation of Article 30 minority rights to establish institution.,State argues institution not eligible for minority status.,Institution registration and religious composition.,1,1,1,0,0,1,1,1,2,2,Neutral,Article 30 - Minority rights
113,Plaintiff files case under Insecticides Act for substandard product.,Manufacturer argues proper quality certification.,Testing reports and manufacturing license.,0,1,1,1,1,1,0,1,2,3,Defendant,Insecticides Act 1968
114,Worker files case under Cine Workers Act for welfare benefits.,Producer argues worker not regularly employed.,Employment records and work certificates.,1,1,1,0,0,1,1,1,2,2,Neutral,Cine Workers and Cinema Theatre Workers Act 1981
115,Plaintiff alleges defamation through publication under Section 501 IPC.,Defendant argues truth and public good defense.,Published material and evidence of truth.,0,1,1,1,1,1,0,1,2,3,Defendant,IPC Section 501 - Printing defamatory matter
116,Plaintiff files case under Forest Rights Act for forest land rights.,Forest department contests claim.,Settlement records and occupation evidence.,1,1,1,1,0,1,1,1,3,3,Neutral,Scheduled Tribes and Forest Rights Act 2006
117,Employee alleges victimization under Whistleblowers Protection Act.,Employer denies retaliation for complaint.,Complaint timeline and employment actions.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Whistleblowers Protection Act 2014
118,Plaintiff alleges violation of Article 27 prohibition of religious tax.,Authority argues general tax not religious.,Tax notification and religious institution status.,0,1,1,1,1,1,0,1,2,3,Defendant,Article 27 - Religious tax prohibition
119,Plaintiff files case under Drugs and Cosmetics Act.,Accused argues proper licensing and standards.,Drug testing reports and license documents.,0,1,1,1,1,1,0,1,2,3,Defendant,Drugs and Cosmetics Act 1940
120,Worker files case under Journalists Act for service conditions.,Media house argues worker is freelancer.,Employment contract and work pattern.,1,1,1,0,0,1,1,1,2,2,Neutral,Working Journalists Act 1955
121,Plaintiff alleges assault under Section 323 IPC.,Accused claims self-defense under Section 96.,Medical reports and eyewitness accounts.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 323 - Voluntarily causing hurt
122,Plaintiff files case under Essential Commodities Act for hoarding.,Trader argues stock for normal business.,Stock registers and sale records.,0,1,1,1,1,1,0,1,2,3,Defendant,Essential Commodities Act 1955
123,Employee claims gratuity under state-specific act.,Employer argues gratuity already paid.,Payment receipts and settlement documents.,0,1,1,1,1,1,0,1,2,3,Defendant,State Gratuity Acts
124,Plaintiff alleges abetment of suicide under Section 306 IPC.,Accused denies instigation or aiding.,Suicide note and circumstantial evidence.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 306 - Abetment of suicide
125,Plaintiff files case under Fertilizers Act for adulterated fertilizer.,Dealer argues proper quality certification.,Chemical analysis and sale invoice.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Fertilizers (Control) Order 1985
126,Worker files case under Mica Mines Labour Welfare Fund Act.,Mine owner argues contributions made.,Contribution receipts and worker registration.,0,1,1,1,1,1,0,1,2,3,Defendant,Mica Mines Labour Welfare Fund Act 1946
127,Plaintiff alleges theft under Section 379 IPC.,Accused denies possession of stolen property.,Recovery panchnama and ownership proof.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 379 - Theft
128,Plaintiff files case under Prize Competition Act.,Organizer argues competition is skill-based.,Competition rules and prize distribution records.,0,1,1,1,1,1,0,1,2,3,Defendant,Prize Competitions Act 1955
129,Employee alleges retrenchment without notice under Standing Orders.,Employer argues proper notice given.,Service records and notice documents.,0,1,1,1,1,1,0,1,2,3,Defendant,Certified Standing Orders
130,Plaintiff alleges criminal breach of trust under Section 406 IPC.,Accused argues no entrustment of property.,Property documents and transaction records.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 406 - Criminal breach of trust
131,Plaintiff files case under Transplantation of Human Organs Act.,Accused denies illegal organ trade.,Medical records and financial transactions.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Transplantation of Human Organs Act 1994
132,Worker files case under Limestone and Dolomite Mines Labour Welfare Fund Act.,Mine owner argues worker not covered.,Worker registration and mine records.,1,1,1,0,0,1,1,1,2,2,Neutral,Limestone and Dolomite Mines Labour Welfare Fund Act 1972
133,Plaintiff alleges mischief causing damage under Section 426 IPC.,Accused denies causing damage.,Damage assessment and eyewitness accounts.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 426 - Mischief
134,Plaintiff files case under Pre-natal Diagnostic Techniques Act.,Clinic denies sex determination.,Investigation report and clinic records.,1,0,1,1,1,0,1,0,3,1,Plaintiff,PC-PNDT Act 1994
135,Employee claims benefit under Iron Ore Mines Labour Welfare Fund Act.,Mine owner argues cessation of employment.,Employment records and welfare fund contributions.,1,1,1,0,0,1,1,1,2,2,Neutral,Iron Ore Mines Labour Welfare Fund Act 1976
136,Plaintiff alleges house-trespass under Section 442 IPC.,Accused claims lawful entry.,Property documents and entry evidence.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 442 - House-trespass
137,Plaintiff files case under Emblems and Names Act for unauthorized use.,User argues no commercial exploitation.,Logo usage evidence and authorization.,0,1,1,1,1,1,0,1,2,3,Defendant,Emblems and Names (Prevention of Improper Use) Act 1950
138,Worker files case under Manganese Ore Mines Labour Welfare Fund Act.,Employer argues proper welfare contributions made.,Contribution records and welfare board receipts.,0,1,1,1,1,1,0,1,2,3,Defendant,Manganese Ore Mines Labour Welfare Fund Act 1987
139,Plaintiff alleges extortion under Section 384 IPC.,Accused denies threatening for property.,Threat evidence and property transaction.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 384 - Extortion
140,Plaintiff files case under Cigarettes Act for misleading packaging.,Tobacco company argues compliance with regulations.,Package samples and statutory warnings.,0,1,1,1,1,1,0,1,2,3,Defendant,Cigarettes and Other Tobacco Products Act 2003
141,Employee claims benefit under Coal Mines Labour Welfare Fund Act.,Coal company argues worker transferred.,Transfer orders and welfare fund records.,1,1,0,1,1,1,1,0,2,2,Neutral,Coal Mines Labour Welfare Fund Act 1947
142,Plaintiff alleges robbery under Section 392 IPC.,Accused denies involvement and provides alibi.,Identification parade and stolen property recovery.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 392 - Robbery
143,Plaintiff files case under Legal Metrology Act for short measurement.,Trader argues calibrated instruments used.,Inspection report and measurement records.,1,0,1,1,1,0,1,0,3,1,Plaintiff,Legal Metrology Act 2009
144,Worker files case under Chrome Ore Mines Labour Welfare Fund Act.,Mine contractor argues worker not on rolls.,Employment contract and attendance records.,1,1,1,0,0,1,1,1,2,2,Neutral,Chrome Ore Mines Labour Welfare Fund Act 2005
145,Plaintiff alleges dacoity under Section 395 IPC.,Accused denies being part of criminal assembly.,Witness identification and recovered articles.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 395 - Dacoity
146,Plaintiff files case under Drugs and Magic Remedies Act for false advertisement.,Advertiser argues claims are substantiated.,Advertisement material and scientific evidence.,1,0,1,1,1,1,0,0,2,1,Plaintiff,Drugs and Magic Remedies (Objectionable Advertisements) Act 1954
147,Employee alleges non-payment of provident fund contributions.,Employer claims contributions were deposited.,PF challan receipts and account statements.,0,1,1,1,1,1,0,1,2,3,Defendant,EPF Act - Employer obligations
148,Plaintiff alleges kidnapping under Section 363 IPC.,Accused denies taking person from lawful guardianship.,Missing person report and recovery circumstances.,1,0,1,1,1,0,1,0,3,1,Plaintiff,IPC Section 363 - Kidnapping
149,Plaintiff files case under Cable Television Networks Act for unauthorized broadcast.,Operator argues proper registration and licensing.,Registration certificate and broadcast logs.,0,1,1,1,1,1,0,1,2,3,Defendant,Cable Television Networks Act 1995
150,Worker files case under Labour Welfare Fund Act for welfare benefits.,Establishment argues contributions made to welfare fund.,Welfare fund receipts and worker registration.,0,1,1,1,1,1,0,1,2,3,Defendant,State Labour Welfare Fund Acts
